trade_date,上证综指,深证成指,沪深300,创业板指,上证50,中证500,中小板指,上证180
2014-11-17,2474.009,8283.804,2567.101,1471.685,1708.096,4958.466,5382.963,5637.859
2014-11-18,2456.366,8196.594,2541.416,1481.86,1679.423,4967.651,5389.135,5571.036
2014-11-19,2450.986,8225.073,2537.223,1505.552,1671.654,4985.101,5418.177,5557.197
2014-11-20,2452.66,8205.377,2537.099,1494.591,1676.598,4974.626,5381.925,5561.838
2014-11-21,2486.791,8332.298,2583.455,1504.833,1714.711,5029.773,5425.351,5674.553
2014-11-24,2532.879,8577.906,2649.258,1507.811,1758.096,5112.119,5475.699,5819.729
2014-11-25,2567.597,8693.432,2685.561,1541.922,1777.673,5189.001,5574.098,5891.787
2014-11-26,2604.345,8763.784,2723.018,1554.22,1820.489,5214.21,5581.572,5998.58
2014-11-27,2630.486,8860.433,2754.49,1563.409,1853.004,5251.389,5598.882,6081.386
2014-11-28,2682.835,9002.227,2808.819,1570.851,1914.44,5245.267,5587.196,6222.947
2014-12-01,2680.155,9095.757,2819.812,1552.306,1920.38,5208.139,5554.36,6230.718
2014-12-02,2763.545,9366.949,2923.94,1565.417,2021.54,5277.657,5614.748,6490.722
2014-12-03,2779.525,9643.924,2967.549,1604.447,2037.585,5339.005,5697.798,6564.286
2014-12-04,2899.456,10029.831,3104.351,1621.845,2160.66,5451.962,5813.091,6896.31
2014-12-05,2937.647,10067.279,3124.885,1581.907,2200.253,5333.892,5697.714,6980.453
2014-12-08,3020.258,10554.566,3252.881,1567.163,2298.849,5412.674,5713.921,7278.94
2014-12-09,2856.269,10116.49,3106.913,1504.623,2182.693,5195.406,5488.997,6937.483
2014-12-10,2940.006,10545.515,3221.546,1572.685,2254.823,5374.097,5701.747,7176.306
2014-12-11,2925.743,10478.881,3183.012,1587.665,2193.542,5454.443,5726.452,7048.114
2014-12-12,2938.173,10462.312,3193.227,1623.569,2193.287,5493.2,5778.594,7071.164
2014-12-15,2953.421,10504.229,3217.228,1657.498,2201.536,5583.597,5882.182,7120.354
2014-12-16,3021.518,10668.617,3303.402,1649.582,2299.278,5606.693,5850.282,7361.517
2014-12-17,3061.02,10786.722,3360.598,1644.212,2383.948,5557.286,5793.111,7534.98
2014-12-18,3057.521,10665.179,3345.927,1634.052,2364.041,5558.045,5760.814,7504.791
2014-12-19,3108.596,10627.109,3383.167,1596.811,2390.28,5524.122,5668.147,7608.318
2014-12-22,3127.445,10608.515,3394.481,1517.928,2426.684,5305.209,5453.219,7663.882
2014-12-23,3032.612,10570.786,3324.924,1496.534,2374.954,5193.722,5386.001,7495.146
2014-12-24,2972.532,10292.522,3230.385,1519.798,2270.883,5262.365,5453.278,7250.025
2014-12-25,3072.536,10493.779,3335.419,1529.468,2359.655,5364.563,5518.834,7518.198
2014-12-26,3157.603,10802.636,3445.839,1536.082,2464.819,5422.751,5565.614,7799.933
2014-12-29,3168.016,10780.396,3455.455,1499.4,2481.663,5367.637,5498.047,7834.365
2014-12-30,3165.815,10722.262,3457.554,1460.108,2523.627,5275.085,5391.388,7871.024
2014-12-31,3234.677,11014.624,3533.705,1471.764,2581.567,5322.714,5461.191,8044.505
2015-01-05,3350.519,11520.59,3641.541,1464.774,2649.639,5417.017,5589.784,8261.267
2015-01-06,3351.446,11667.967,3641.059,1539.828,2629.402,5479.864,5705.732,8215.575
2015-01-07,3373.954,11613.356,3643.79,1523.387,2635.231,5488.242,5663.687,8237.125
2015-01-08,3293.456,11465.138,3559.259,1541.887,2558.107,5444.037,5674.312,8012.598
2015-01-09,3285.412,11324.762,3546.723,1553.239,2569.019,5409.058,5667.031,8010.613
2015-01-12,3229.316,11285.18,3513.576,1586.124,2543.852,5332.221,5679.931,7921.333
2015-01-13,3235.301,11355.809,3514.04,1601.168,2527.828,5405.091,5825.688,7897.713
2015-01-14,3222.437,11237.782,3502.423,1588.007,2534.23,5379.738,5784.224,7894.156
2015-01-15,3336.455,11483.684,3604.121,1586.335,2632.89,5449.038,5790.74,8159.943
2015-01-16,3376.495,11532.802,3635.146,1639.555,2653.034,5520.123,5890.847,8235.101
2015-01-19,3116.351,10770.929,3355.155,1630.065,2410.201,5281.895,5743.571,7554.286
2015-01-20,3173.052,10996.482,3396.222,1700.852,2403.724,5472.514,5960.639,7610.799
2015-01-21,3323.611,11372.18,3548.885,1722.581,2542.318,5611.694,6081.284,7989.271
2015-01-22,3343.344,11471.209,3567.613,1744.037,2544.308,5690.156,6147.437,8018.95
2015-01-23,3351.764,11436.287,3571.732,1697.288,2564.514,5633.289,6056.395,8050.015
